ID,codigo_do_setor_censitario,nome,especie,sexo,idade,castrado,castrado_u12,sai_sozinho_a_rua,aquisicao,aquisicao_u12,aquisicao_castrado,municipio_de_aquisicao,estado_de_aquisicao,perdeu_animais,filhotes_u12,nome3,especie3,sexo3,idade3,castrado3,destino
2,411915205000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parana,sim,NA,SABOTA,cao,macho,6,nao,doado
3,411915205000038,Jack,cao,macho,5,nao,nao,nao,comprou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
4,411915205000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parana,sim,NA,WINDY,cao,femea,7,nao,morreu
5,411915205000038,SCOOBY DOO,cao,macho,8,nao,nao,sim,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
5,411915205000038,KADU,cao,macho,5,sim,nao,nao,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
6,411915205000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parana,sim,NA,DICA,cao,femea,12,nao,morreu
7,411915205000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parana,sim,NA,PINSCHER,cao,macho,18,nao,morreu
7,411915205000038,NICK,cao,femea,5,nao,nao,nao,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
9,411915205000038,TOFFEE,cao,macho,10,nao,nao,nao,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
11,411915205000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parana,sim,NA,NEGUINHA,cao,femea,NA,nao,morreu
22,411915205000038,SNOOP,cao,macho,3,nao,nao,nao,adotou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
23,411915205000038,PINTADA,cao,femea,14,sim,nao,sim,ganhou,sim,nao,Pinhais,parana,nao,16,NA,NA,NA,NA,NA,NA
26,411915205000038,MARCELINE,cao,femea,1,nao,nao,nao,ganhou,sim,nao,Pinhais,parana,nao,5,NA,NA,NA,NA,NA,NA
26,411915205000038,NEGÃO,cao,macho,4,nao,nao,nao,adotou,sim,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
27,411915205000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parana,sim,NA,LEVA,cao,femea,8,sim,morreu
27,411915205000038,GRILO,gato,macho,0,nao,nao,sim,adotou,sim,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
27,411915205000038,BRITINHA,gato,femea,0,nao,nao,nao,adotou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
27,411915205000038,TITA,gato,femea,13,sim,nao,nao,ganhou,nao,nao,Matinhos,parana,nao,0,NA,NA,NA,NA,NA,NA
12,411915205000038,PITUCHA,cao,femea,6,nao,nao,nao,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
12,411915205000038,KATE,cao,femea,3,nao,nao,nao,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
13,411915205000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parana,sim,NA,RADI,cao,femea,1,nao,doado
16,411915205000038,CATATAU,cao,macho,3,nao,nao,nao,adotou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
16,411915205000038,THE DOG,cao,macho,7,sim,nao,nao,adotou,nao,sim,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
16,411915205000038,TIMÃO,cao,macho,7,nao,nao,nao,comprou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
17,411915205000038,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,parana,sim,NA,LILI,cao,femea,7,nao,morreu
20,411915205000038,DUKE,cao,macho,3,nao,nao,sim,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
30,411915205000038,MENA,cao,femea,9,nao,nao,nao,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
30,411915205000038,SHAILA,cao,femea,5,nao,nao,nao,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
31,411915205000052,DUQUE,cao,macho,8,nao,nao,nao,ganhou,nao,nao,Pinhais,parana,nao,0,NA,NA,NA,NA,NA,NA
