"Cod_setor","V001"
411915205000001,135
411915205000002,363
411915205000003,193
411915205000004,220
411915205000005,214
411915205000006,238
411915205000007,136
411915205000008,158
411915205000009,296
411915205000010,234
411915205000011,225
411915205000012,227
411915205000013,269
411915205000014,238
411915205000015,346
411915205000016,315
411915205000017,168
411915205000018,316
411915205000019,194
411915205000020,317
411915205000021,311
411915205000022,219
411915205000023,281
411915205000024,370
411915205000025,410
411915205000026,193
411915205000027,223
411915205000028,279
411915205000029,269
411915205000030,221
411915205000031,349
411915205000032,508
411915205000033,253
411915205000034,344
411915205000035,500
411915205000036,279
411915205000037,302
411915205000038,386
411915205000039,402
411915205000040,401
411915205000041,279
411915205000042,296
411915205000043,283
411915205000044,419
411915205000045,358
411915205000046,276
411915205000047,297
411915205000048,284
411915205000049,291
411915205000050,324
411915205000051,323
411915205000052,325
411915205000053,277
411915205000054,218
411915205000055,469
411915205000056,186
411915205000057,277
411915205000058,245
411915205000059,254
411915205000060,210
411915205000061,417
411915205000062,303
411915205000063,281
411915205000064,272
411915205000065,315
411915205000066,381
411915205000067,230
411915205000068,257
411915205000069,181
411915205000070,175
411915205000071,231
411915205000072,349
411915205000073,445
411915205000074,289
411915205000075,215
411915205000076,425
411915205000077,324
411915205000078,240
411915205000079,356
411915205000080,178
411915205000081,204
411915205000082,362
411915205000083,343
411915205000084,306
411915205000085,288
411915205000086,140
411915205000087,295
411915205000088,312
411915205000089,318
411915205000090,267
411915205000091,264
411915205000092,385
411915205000093,354
411915205000094,283
411915205000095,287
411915205000096,354
411915205000097,2
411915205000098,467
411915205000099,126
411915205000100,427
411915205000101,23
411915205000102,337
411915205000103,247
411915205000104,274
411915205000105,248
411915205000106,153
411915205000107,2
411915205000108,217
411915205000109,258
411915205000110,251
411915205000111,307
411915205000112,169
411915205000113,211
411915205000114,237
411915205000115,223
411915205000116,208
411915205000117,212
411915205000118,204
411915205000119,194
411915205000120,160
411915205000121,174
411915205000122,188
411915205000123,171
411915205000124,212
411915205000125,78
411915205000126,164
411915205000127,247
411915205000128,147
411915205000129,238
411915205000130,231
411915205000131,165
411915205000132,280
411915205000133,312
411915205000134,141
411915205000135,199
411915205000136,226
